id;name;type;description;active
1;Virtual;POLYCLINIC;Rupee AGP engage;false
2;Incredible;SERVICE;dynamic CFA blue;true
3;web-readiness Iraq Cloned;POLYCLINIC;France Specialist Avon;true
4;Dominica;SERVICE;Slovakia;false
5;channels Granite Concrete;SERVICE;Toys encompassing deposit;true
6;Auto;POLYCLINIC;Cotton withdrawal capacity;true
7;Cotton 1080p Steel;SERVICE;Investor;false
8;Loan Account mint;POLYCLINIC;Tasty;true
9;copy payment;SERVICE;Clothing USB RAM;true
10;orchestrate Iceland;POLYCLINIC;black Account Fundamental;true
