id;name;category;price;description
1;Open-architected Savings;paradigms;23949;Pants redundant Intranet
2;neural ADP;Self-enabling invoice;96267;Chair static Sri
3;Accountability hacking convergence;Lari Awesome;70969;optical
4;Metal Towels Automotive;invoice Green synergize;61779;multi-byte Coordinator efficient
5;feed Solutions array;Sports;33036;integrated
6;modular Shoes;Outdoors;65134;Metal Massachusetts 24/7
7;alarm Liaison;African;27732;yellow Ball
8;real-time;Soft lavender well-modulated;43431;Dynamic whiteboard Bedfordshire
9;generating Incredible Intelligent;e-commerce Operations ADP;41076;wireless
10;compressing cutting-edge West;contextually-based Shirt bi-directional;72517;whiteboard Outdoors North
