id;param_key;param_val;description
1;Pre-emptive Global clear-thinking;bandwidth Avon;Extensions Tools
2;Designer B2B Forward;Representative solid EXE;Fantastic
3;payment Practical sexy;Up-sized;up Island
4;monitor leading-edge Music;Metrics deploy Berkshire;cross-media Integrated
5;Movies;Industrial;static
6;navigate;e-business;Avon driver
7;Small;intranet;Mongolia revolutionary
8;Dynamic;Rue;system Fantastic
9;HTTP;Cliff;Euro Plastic
10;virtual;expedite deposit;Applications Massachusetts services
